# time(ps) Nwater 
10 0
20 1
30 9
40 14
50 17
60 17
70 18
80 18
90 18
100 19
110 20
1000 22
2000 19
3000 21
4000 23
5000 19
6000 20
7000 20
8000 20
9000 22
10000 19
11000 19
12000 19
13000 19
14000 19
15000 21
16000 18
17000 20
18000 19
19000 19
20000 21
21000 21
22000 20
23000 21
24000 19
25000 19
26000 23
27000 21
28000 20
29000 19
30000 22
31000 19
32000 22
33000 20
34000 18
35000 19
36000 22
37000 20
38000 20
39000 21
40000 20
41000 21
42000 20
43000 21
44000 19
45000 19
46000 19
47000 17
48000 19
49000 20
50000 16
51000 19
52000 22
53000 22
54000 20
55000 17
56000 18
57000 20
58000 21
59000 21
60000 22
61000 21
62000 20
63000 17
64000 18
65000 20
66000 20
67000 22
68000 19
69000 20
70000 21
71000 19
72000 20
73000 21
74000 19
75000 21
76000 20
77000 19
78000 21
79000 22
80000 20
81000 18
82000 22
83000 22
84000 20
85000 23
86000 19
87000 17
88000 21
89000 23
90000 20
91000 17
92000 20
93000 19
94000 20
95000 19
96000 22
97000 19
98000 20
99000 17
100000 21
