# step Etot Epot T p 
0 -4225.5116 -5194.7943 307.9326 153.5374 
5000 -4277.6213 -5246.4038 307.7737 -518.1137 
10000 -4292.7628 -5214.0077 292.6714 -184.0566 
15000 -4318.8505 -5220.3089 286.3854 53.7245 
20000 -4239.678 -5190.579 302.0929 747.6046 
25000 -4258.9819 -5226.0899 307.2417 -998.8241 
30000 -4224.1046 -5209.4206 313.0263 -188.8051 
35000 -4319.5153 -5223.5316 287.1981 -212.0745 
40000 -4272.9125 -5218.3671 300.3626 165.0193 
45000 -4274.2672 -5259.1736 312.8961 -102.1055 
50000 -4176.6948 -5149.9608 309.1981 -361.3988 
55000 -4202.8376 -5197.5277 316.0043 -444.8786 
60000 -4263.7322 -5186.0763 293.0206 -834.873 
65000 -4194.0442 -5182.5154 314.0286 -114.4533 
70000 -4282.9359 -5248.4257 306.7276 -557.0043 
75000 -4215.7388 -5187.3028 308.6574 5.7548 
80000 -4188.4254 -5142.0949 302.9724 135.7803 
85000 -4250.2541 -5243.7502 315.625 287.2277 
90000 -4255.0519 -5176.6497 292.7835 -451.3563 
95000 -4163.5885 -5118.0247 303.216 -373.0292 
100000 -4265.519 -5204.4622 298.294 -247.1745 
105000 -4273.3948 -5189.2603 290.9624 -544.5369 
110000 -4248.1289 -5167.9766 292.2275 -311.4533 
115000 -4225.363 -5179.6378 303.1647 -943.7911 
120000 -4250.5452 -5202.322 302.3711 -76.7132 
125000 -4297.6772 -5229.231 295.9465 -371.219 
130000 -4250.5986 -5211.8098 305.3684 -629.6972 
135000 -4277.5959 -5219.2813 299.1652 15.634 
140000 -4191.58 -5167.9438 310.1822 277.0049 
145000 -4237.922 -5170.7061 296.3373 -216.7922 
150000 -4243.419 -5221.1819 310.6267 -301.9668 
155000 -4315.8029 -5221.63 287.7733 512.5628 
160000 -4250.7669 -5214.6334 306.2119 -332.256 
165000 -4273.3058 -5185.5864 289.8235 -20.0761 
170000 -4246.9392 -5185.639 298.2167 -98.223 
175000 -4279.3552 -5218.7511 298.4378 -352.2266 
180000 -4207.8662 -5136.4697 295.0092 -42.4586 
185000 -4272.7556 -5198.1933 294.0034 -279.5092 
190000 -4309.4394 -5250.69 299.0271 -317.0904 
195000 -4302.7567 -5254.9886 302.5157 -367.2741 
200000 -4280.9109 -5243.6455 305.8523 -281.9056 
205000 -4272.1433 -5239.599 307.3522 -116.9412 
210000 -4226.962 -5170.6868 299.8131 -536.3192 
215000 -4280.1142 -5214.6344 296.8889 -245.2775 
220000 -4283.4458 -5236.9934 302.9337 -736.3087 
225000 -4235.974 -5209.226 309.1936 204.5952 
230000 -4298.4013 -5217.7692 292.0751 347.3754 
235000 -4259.0833 -5188.0685 295.1304 -376.5473 
240000 -4249.2706 -5200.9738 302.3477 -335.0882 
245000 -4278.0807 -5179.7903 286.4652 -118.3605 
250000 -4298.417 -5260.7498 305.7247 -411.1927 
255000 -4243.8757 -5176.1282 296.1684 151.1135 
260000 -4304.6398 -5185.9824 279.9948 174.2687 
265000 -4246.6623 -5201.3999 303.3118 -408.6409 
270000 -4234.0889 -5185.0226 302.1033 -180.564 
275000 -4193.8138 -5162.0542 307.6015 15.8796 
280000 -4281.1263 -5198.4308 291.4196 -72.8356 
285000 -4269.0096 -5232.1102 305.9686 145.3425 
290000 -4241.8371 -5199.1819 304.14 -966.4176 
295000 -4286.7264 -5209.7117 293.2243 -658.0185 
300000 -4207.2543 -5162.4962 303.472 -666.2762 
305000 -4241.9135 -5204.0256 305.6546 -60.7628 
310000 -4310.2411 -5224.3469 290.4034 91.6313 
315000 -4322.8442 -5204.378 280.0556 -516.1129 
320000 -4277.7266 -5226.4078 301.3877 -61.0081 
325000 -4263.5925 -5182.2104 291.8368 -599.2892 
330000 -4245.6407 -5194.6959 301.5065 -907.0167 
335000 -4319.1263 -5260.4833 299.0609 -345.035 
340000 -4231.3337 -5169.8213 298.1493 -824.8447 
345000 -4232.0107 -5167.093 297.0674 -618.363 
350000 -4321.3575 -5238.6601 291.419 6.7643 
355000 -4236.1924 -5178.8496 299.4739 -352.7539 
360000 -4246.2395 -5181.2028 297.0297 -88.6133 
365000 -4285.4809 -5209.8658 293.669 -592.1548 
370000 -4249.6058 -5202.8385 302.8336 -659.5866 
375000 -4254.0685 -5202.7444 301.386 -333.4162 
380000 -4233.1464 -5218.2321 312.9531 -454.9788 
385000 -4267.8725 -5218.886 302.1287 -863.4583 
390000 -4220.9389 -5185.2499 306.3531 -206.7342 
395000 -4249.6729 -5165.9744 291.101 -221.4757 
400000 -4267.0482 -5229.0313 305.6136 74.2905 
405000 -4331.4376 -5233.991 286.7333 -287.9667 
410000 -4276.2327 -5231.9623 303.6269 10.3728 
415000 -4230.6646 -5187.878 304.0983 -440.5705 
420000 -4275.3681 -5209.6564 296.8152 -26.3309 
425000 -4269.2889 -5209.0226 298.5451 -249.8625 
430000 -4284.318 -5224.7907 298.7799 64.1131 
435000 -4266.4319 -5221.6662 303.4696 -152.4783 
440000 -4275.0086 -5205.3954 295.5757 -408.3208 
445000 -4191.2418 -5161.8777 308.3625 -48.4828 
450000 -4308.7988 -5254.424 300.4168 -299.5008 
455000 -4242.1242 -5162.6868 292.4547 564.6356 
460000 -4297.394 -5256.9556 304.8443 -511.9236 
465000 -4276.3621 -5215.6299 298.3971 -240.7314 
470000 -4261.0037 -5181.9412 292.5738 591.6732 
475000 -4221.3517 -5174.5972 302.8377 33.8645 
480000 -4241.7686 -5180.6494 298.2742 -70.4 
485000 -4292.8217 -5206.7292 290.3404 -652.1786 
490000 -4238.2311 -5207.3099 307.8678 71.9991 
495000 -4263.7135 -5205.48 299.191 234.2348 
500000 -4351.2869 -5267.767 291.1577 -425.374 
505000 -4286.7375 -5218.2319 295.9276 -918.852 
510000 -4275.9239 -5220.5647 300.1041 380.7364 
515000 -4311.604 -5205.9528 284.1268 -359.9238 
520000 -4256.6969 -5192.935 297.4346 -393.5867 
525000 -4250.1301 -5188.6572 298.1618 -1284.2089 
530000 -4270.3838 -5236.366 306.8841 -148.8421 
535000 -4251.8252 -5212.6074 305.2321 -663.4517 
540000 -4201.1515 -5180.1806 311.029 -339.2848 
545000 -4198.0845 -5166.9717 307.807 211.2228 
550000 -4307.9313 -5233.3346 293.9925 26.7712 
555000 -4248.7806 -5170.8437 292.9314 -276.1894 
560000 -4226.2505 -5204.7582 310.8633 415.8068 
565000 -4307.0014 -5254.9916 301.1682 -1134.2848 
570000 -4256.1499 -5212.5978 303.8551 -348.6192 
575000 -4313.026 -5225.1791 289.783 -600.7013 
580000 -4242.1535 -5198.4177 303.7967 -587.6958 
585000 -4246.6784 -5222.1768 309.9073 -154.1878 
590000 -4267.8382 -5212.7101 300.1775 -388.3051 
595000 -4296.1745 -5234.3095 298.0373 -263.7776 
600000 -4230.0004 -5125.6616 284.5437 627.5249 
605000 -4203.2426 -5139.4725 297.432 219.4527 
610000 -4277.9965 -5227.3796 301.6107 -617.8411 
615000 -4323.5742 -5254.0262 295.5964 553.4815 
620000 -4316.0461 -5254.6191 298.1764 -857.8741 
625000 -4298.9947 -5202.1506 286.9247 -917.7069 
630000 -4264.9827 -5171.3179 287.9347 -283.6896 
635000 -4264.7276 -5184.3727 292.1632 -535.2378 
640000 -4207.539 -5150.1035 299.4445 117.5617 
645000 -4247.3658 -5227.7935 311.4733 -941.5404 
650000 -4271.5143 -5214.3247 299.5226 -739.7329 
655000 -4255.1774 -5173.6406 291.7877 -285.7606 
660000 -4266.1116 -5214.9682 301.4434 -213.4266 
665000 -4273.4007 -5203.4422 295.466 -822.2178 
670000 -4233.5981 -5207.2834 309.3313 -212.697 
675000 -4251.3595 -5214.3239 305.9253 -50.0662 
680000 -4298.004 -5215.5667 291.5016 -488.2785 
685000 -4302.073 -5197.5961 284.4998 -255.4622 
690000 -4252.2155 -5203.8571 302.3282 -325.1159 
695000 -4263.8764 -5176.928 290.0685 236.9646 
700000 -4202.1679 -5154.4207 302.5224 -86.0361 
705000 -4233.5623 -5164.0726 295.6149 -529.0068 
710000 -4258.9839 -5197.5622 298.1781 124.7235 
715000 -4294.3597 -5228.4639 296.7567 -759.3392 
720000 -4211.9905 -5175.4855 306.0939 -639.4296 
725000 -4266.7166 -5209.0893 299.3835 -445.9981 
730000 -4249.5939 -5228.9302 311.1265 -149.977 
735000 -4273.1636 -5218.3348 300.2726 -51.8662 
740000 -4313.1822 -5231.6651 291.794 -258.1423 
745000 -4284.0015 -5213.3996 295.2616 -469.1706 
750000 -4300.5496 -5232.7863 296.1634 323.2954 
755000 -4258.2165 -5189.9645 296.0082 121.0508 
760000 -4227.3959 -5206.854 311.1652 -692.4947 
765000 -4284.028 -5225.512 299.1012 45.8632 
770000 -4349.6379 -5247.1757 285.1399 425.1442 
775000 -4252.0202 -5183.8962 296.0488 -328.8184 
780000 -4288.481 -5204.6946 291.073 -931.5467 
785000 -4312.341 -5270.4873 304.3946 -910.9869 
790000 -4295.9001 -5221.6175 294.0923 37.7864 
795000 -4149.3689 -5129.3782 311.3404 -319.1021 
800000 -4302.1539 -5242.3626 298.696 171.6095 
805000 -4262.4643 -5232.2159 308.0816 -548.2894 
810000 -4251.5668 -5189.7265 298.0451 197.4615 
815000 -4265.1367 -5217.5542 302.5747 -454.8375 
820000 -4222.7768 -5193.7127 308.4578 160.7883 
825000 -4220.2271 -5146.811 294.3676 375.4656 
830000 -4267.9619 -5235.1287 307.2604 -1035.9172 
835000 -4257.4794 -5197.9677 298.7849 -296.8559 
840000 -4311.1415 -5235.0552 293.5193 -674.5101 
845000 -4293.9958 -5189.0798 284.3603 -883.9566 
850000 -4273.2265 -5221.941 301.3983 188.0465 
855000 -4286.1137 -5206.4185 292.3728 478.491 
