# frame +z -z 
0 0 0 
1 0 0 
2 0 0 
3 0 0 
4 0 0 
5 0 0 
6 0 0 
7 0 0 
8 0 0 
9 0 0 
10 0 0 
11 0 1 
12 0 1 
13 0 1 
14 0 1 
15 0 1 
16 0 2 
17 0 2 
18 0 3 
19 0 5 
20 0 6 
21 1 6 
22 1 6 
23 1 6 
24 1 7 
25 1 7 
26 1 7 
27 1 7 
28 1 7 
29 1 7 
30 1 7 
31 1 7 
32 1 7 
33 2 7 
34 2 7 
35 3 7 
36 3 7 
37 3 7 
38 3 7 
39 3 7 
40 4 7 
41 4 7 
42 5 7 
43 5 7 
44 5 7 
45 5 7 
46 5 7 
47 5 7 
48 5 9 
49 5 9 
50 5 9 
51 5 9 
52 5 9 
53 5 9 
54 5 10 
55 5 10 
56 5 10 
57 5 10 
58 5 10 
59 5 10 
60 6 12 
61 6 12 
62 6 12 
63 6 13 
64 7 15 
65 7 15 
66 7 16 
67 7 17 
68 7 17 
69 7 17 
70 7 17 
71 7 20 
72 7 21 
73 7 22 
74 7 25 
75 7 26 
76 7 26 
77 7 26 
78 7 26 
79 7 26 
80 7 26 
81 7 27 
82 7 27 
83 7 27 
84 7 28 
85 7 28 
86 7 28 
87 7 29 
88 7 31 
89 7 34 
90 7 34 
91 7 34 
92 7 35 
93 7 35 
94 7 36 
95 7 37 
96 7 37 
97 7 37 
98 7 37 
99 7 37 
100 7 38 
101 7 38 
102 7 39 
103 8 41 
104 8 41 
105 8 42 
106 9 42 
107 9 42 
108 9 43 
109 9 43 
110 9 43 
111 9 43 
112 9 43 
113 9 46 
114 9 46 
115 9 46 
116 9 47 
117 9 49 
118 9 50 
119 9 51 
120 9 53 
121 9 53 
122 9 53 
123 9 53 
124 9 53 
125 9 54 
126 9 54 
127 9 55 
128 9 55 
129 9 56 
130 9 56 
131 9 56 
132 11 57 
133 12 57 
134 12 57 
135 12 57 
136 12 57 
137 12 57 
138 12 58 
139 12 58 
140 12 59 
141 12 59 
142 12 59 
143 12 59 
144 12 59 
145 12 59 
146 12 59 
147 12 59 
148 12 59 
149 12 59 
150 12 60 
151 12 62 
152 12 63 
153 14 64 
154 14 65 
155 14 65 
156 15 65 
157 16 65 
158 16 66 
159 16 66 
160 16 67 
161 16 69 
162 17 69 
163 18 69 
164 18 70 
165 18 70 
166 20 70 
167 21 70 
168 21 70 
169 21 70 
170 21 70 
171 21 70 
172 21 70 
173 21 70 
174 21 70 
175 21 70 
176 21 71 
177 21 71 
178 21 71 
179 21 71 
180 21 72 
181 21 72 
182 21 72 
183 21 72 
184 21 72 
185 21 72 
186 21 72 
187 21 73 
188 21 73 
189 21 73 
190 22 73 
191 22 73 
192 23 73 
193 23 73 
194 25 73 
195 25 73 
196 25 73 
197 27 73 
198 27 73 
199 29 73 
200 30 73 
201 31 73 
202 31 73 
203 32 73 
204 33 73 
205 33 73 
206 33 73 
207 34 73 
208 34 73 
209 35 73 
210 35 74 
211 35 74 
212 35 74 
213 36 74 
214 36 74 
215 36 74 
216 36 74 
217 36 76 
218 36 77 
219 36 77 
220 36 77 
221 36 78 
222 36 79 
223 36 80 
224 36 80 
225 36 80 
226 36 80 
227 36 80 
228 36 81 
229 36 81 
230 36 82 
231 36 82 
232 36 82 
233 36 82 
234 36 82 
235 36 82 
236 36 82 
237 36 82 
238 36 83 
239 36 83 
240 36 84 
241 38 84 
242 38 84 
243 38 84 
244 38 84 
245 38 84 
246 38 84 
247 38 84 
248 38 86 
249 38 87 
250 38 87 
251 38 88 
252 38 88 
253 38 88 
254 38 88 
255 38 88 
256 38 88 
257 38 88 
258 38 88 
259 38 88 
260 38 88 
261 38 88 
262 38 88 
263 38 88 
264 38 88 
265 38 88 
266 38 88 
267 38 89 
268 38 90 
269 38 92 
270 38 93 
271 38 93 
272 38 94 
273 38 95 
274 38 96 
275 38 96 
276 38 97 
277 38 98 
278 38 99 
279 38 99 
280 38 100 
281 38 100 
282 38 100 
283 38 100 
284 38 100 
285 38 101 
286 38 102 
287 38 102 
288 38 103 
289 38 103 
290 38 104 
291 38 104 
292 38 104 
293 38 104 
294 38 104 
295 38 106 
296 38 106 
297 38 106 
298 38 106 
299 38 106 
300 38 106 
301 39 106 
302 40 106 
303 40 106 
304 40 106 
305 41 106 
306 41 106 
307 41 106 
308 41 106 
309 41 107 
310 41 107 
311 41 108 
312 41 109 
313 41 109 
314 41 109 
315 41 109 
316 41 109 
317 41 109 
318 41 109 
319 41 110 
320 41 110 
321 41 111 
322 41 113 
323 41 114 
324 41 116 
325 41 118 
326 41 118 
327 41 118 
328 41 118 
329 42 119 
330 44 119 
331 44 119 
332 44 120 
333 44 120 
334 44 120 
335 44 121 
336 44 121 
337 44 121 
338 44 121 
339 44 121 
340 44 121 
341 44 121 
342 44 121 
343 44 121 
344 44 121 
345 44 121 
346 44 121 
347 44 121 
348 44 121 
349 44 121 
350 44 121 
351 44 121 
352 45 121 
353 45 121 
354 45 121 
355 46 121 
356 47 121 
357 49 121 
358 50 121 
359 51 121 
360 51 121 
361 51 121 
362 51 121 
363 51 121 
364 51 121 
365 51 123 
366 51 123 
367 51 123 
368 51 123 
369 51 123 
370 51 123 
371 51 123 
372 51 123 
373 51 123 
374 51 123 
375 51 123 
376 51 123 
377 51 123 
378 51 123 
379 51 123 
380 51 124 
381 51 124 
382 51 124 
383 51 124 
384 51 125 
385 51 127 
386 52 128 
387 52 128 
388 52 128 
389 53 128 
390 54 128 
391 54 128 
392 55 128 
393 55 128 
394 55 128 
395 55 128 
396 55 128 
397 56 128 
398 57 128 
399 57 128 
400 57 129 
401 58 129 
402 60 129 
403 60 130 
404 61 130 
405 62 130 
406 62 130 
407 62 130 
408 62 130 
409 63 130 
410 63 130 
411 64 130 
412 64 130 
413 64 130 
414 64 130 
415 65 130 
416 65 130 
417 65 130 
418 65 130 
419 65 130 
420 65 130 
421 65 130 
422 65 130 
423 66 130 
424 66 130 
425 66 130 
426 66 130 
427 66 130 
428 66 130 
429 66 130 
430 66 130 
431 66 130 
432 66 131 
433 66 131 
434 67 131 
435 67 133 
436 67 133 
437 68 133 
438 68 133 
439 68 133 
440 68 133 
441 70 133 
442 70 133 
443 73 133 
444 73 133 
445 73 133 
446 73 133 
447 73 134 
448 73 134 
449 73 136 
450 73 137 
451 73 137 
452 73 137 
453 73 137 
454 73 137 
455 73 137 
456 73 137 
457 73 137 
458 73 137 
459 73 137 
460 74 137 
461 75 137 
462 77 139 
463 77 139 
464 77 139 
465 78 140 
466 78 141 
467 78 142 
468 78 142 
469 78 142 
470 78 142 
471 79 144 
472 79 144 
473 79 144 
474 79 146 
475 79 148 
476 79 148 
477 79 148 
478 79 148 
479 79 148 
480 79 148 
481 79 149 
482 80 149 
483 81 149 
484 81 150 
485 81 151 
486 81 152 
487 83 152 
488 83 153 
489 85 154 
