# step Etot Epot T p 
0 -4225.5116 -5194.7943 307.9326 153.5376 
5000 -4244.4414 -5176.7899 296.1989 -870.3923 
10000 -4261.2261 -5230.7631 308.0134 26.9555 
15000 -4186.9228 -5148.7433 305.5619 -117.3729 
20000 -4271.4118 -5241.4464 308.1715 -482.568 
25000 -4315.6972 -5249.5003 296.661 -1113.8898 
30000 -4256.5254 -5200.8944 300.0177 -204.3699 
35000 -4278.7864 -5231.0656 302.5307 -140.3517 
40000 -4239.755 -5201.6638 305.59 7.2557 
45000 -4199.6893 -5178.6467 311.0062 -838.6329 
50000 -4296.7007 -5238.4948 299.1997 -304.9697 
55000 -4271.2276 -5227.9401 303.9392 -579.7564 
60000 -4253.522 -5227.9234 309.5588 -232.9668 
65000 -4224.1524 -5163.6124 298.4582 -224.4612 
70000 -4215.4931 -5187.2336 308.7134 -480.2126 
75000 -4221.6612 -5185.503 306.2041 383.7017 
80000 -4255.2957 -5225.8059 308.3226 -720.2006 
85000 -4210.6752 -5158.2023 301.021 88.4232 
90000 -4276.7798 -5211.5007 296.9526 -397.5208 
95000 -4237.893 -5182.8436 300.2025 -571.8154 
100000 -4261.4811 -5170.0679 288.65 381.8484 
105000 -4301.7103 -5242.6148 298.9171 253.5416 
110000 -4251.8469 -5212.7079 305.2571 -142.8969 
115000 -4258.956 -5192.5147 296.5834 -288.2131 
120000 -4345.5121 -5221.4316 278.2719 55.963 
125000 -4284.3759 -5246.9087 305.7882 -622.1459 
130000 -4197.4441 -5201.8793 319.1002 -428.3079 
135000 -4234.4409 -5196.1404 305.5235 -137.3807 
140000 -4250.9287 -5187.1814 297.4392 -267.8716 
145000 -4253.1172 -5211.6191 304.5076 -333.5587 
150000 -4221.5654 -5190.9608 307.9684 -8.1437 
155000 -4242.3791 -5190.7732 301.2965 -177.6781 
160000 -4288.5387 -5224.063 297.2079 -917.1363 
165000 -4211.9933 -5172.7599 305.2271 -417.0436 
170000 -4227.6315 -5199.2317 308.6688 -277.0971 
175000 -4231.6618 -5193.5111 305.5711 -578.4989 
180000 -4225.0939 -5174.3766 301.5788 -198.8268 
185000 -4255.8317 -5234.0866 310.783 -119.7955 
190000 -4242.7857 -5210.2887 307.3672 -491.1337 
195000 -4189.9782 -5161.4713 308.6348 -701.3699 
200000 -4231.2541 -5175.5141 299.9831 -380.3555 
205000 -4260.3969 -5209.2825 301.4526 281.41 
210000 -4259.2119 -5223.3617 306.302 -328.3455 
215000 -4289.5872 -5229.7102 298.6688 351.124 
