# frame +z -z 
0 0 0 
1 0 0 
2 0 0 
3 0 0 
4 0 0 
5 0 0 
6 0 0 
7 0 0 
8 0 0 
9 0 0 
10 0 2 
11 0 5 
12 0 6 
13 0 9 
14 0 12 
15 0 15 
16 0 17 
17 0 20 
18 0 22 
19 0 25 
20 0 28 
21 0 31 
22 0 33 
23 0 35 
24 0 38 
25 0 39 
26 0 43 
27 0 45 
28 0 47 
29 0 49 
30 0 51 
31 0 53 
32 0 55 
33 0 56 
34 0 59 
35 0 62 
36 0 65 
37 0 68 
38 0 71 
39 0 73 
40 0 75 
41 0 79 
42 0 83 
43 0 86 
44 0 89 
45 0 91 
46 0 94 
47 0 96 
48 0 99 
49 0 102 
50 0 105 
51 0 108 
52 0 108 
53 0 113 
54 0 115 
55 0 119 
56 0 121 
57 0 123 
58 0 126 
59 0 128 
60 0 131 
61 0 134 
62 0 136 
63 0 139 
64 0 141 
65 0 145 
66 0 146 
67 0 148 
68 0 149 
69 0 153 
70 0 156 
71 0 157 
72 0 162 
73 0 162 
74 0 166 
75 0 169 
76 0 173 
77 0 176 
78 0 178 
79 0 180 
80 0 183 
81 0 185 
82 0 188 
83 0 188 
84 0 190 
85 0 192 
86 0 194 
87 0 195 
88 0 198 
89 0 200 
90 0 204 
91 0 207 
92 0 209 
93 0 212 
94 0 213 
95 0 216 
96 0 221 
97 0 224 
98 0 226 
99 0 230 
100 0 231 
101 0 233 
102 0 236 
103 0 238 
104 0 242 
105 0 243 
106 0 246 
107 0 246 
108 0 248 
109 0 250 
110 0 254 
111 0 259 
112 0 261 
113 0 263 
114 0 266 
115 0 267 
116 0 270 
117 0 273 
118 0 276 
119 0 278 
120 0 281 
121 0 283 
122 0 285 
123 0 288 
124 0 291 
125 0 292 
126 0 294 
127 0 295 
128 0 301 
129 0 305 
130 0 306 
131 0 308 
132 0 310 
133 0 313 
134 0 318 
135 0 320 
136 0 321 
137 0 324 
138 0 327 
139 0 330 
140 0 330 
141 0 332 
142 0 334 
143 0 334 
144 0 337 
145 0 339 
146 0 341 
147 0 345 
148 0 347 
149 0 348 
150 0 351 
151 0 352 
152 0 356 
